UserName,Password,FirstName,LastName,PostCode
standard_user,secret_sauce,Fname1,Lname1,1220
performance_glitch_user,secret_sauce,Fname4,Lname4,1223
standard_user,secret_sauce,Fname2,Lname2,1221
performance_glitch_user,secret_sauce,Fname3,Lname3,1222
standard_user,secret_sauce,Fname5,Lname5,1224
performance_glitch_user,secret_sauce,Fname6,Lname6,1225
standard_user,secret_sauce,Fname7,Lname7,1226
performance_glitch_user,secret_sauce,Fname8,Lname8,1227
standard_user,secret_sauce,Fname9,Lname9,1228
performance_glitch_user,secret_sauce,Fname10,Lname10,1229
standard_user,secret_sauce,Fname11,Lname11,1230
performance_glitch_user,secret_sauce,Fname12,Lname12,1231
